uid,condition,anger_premeasure,anxiety_premeasure,green_r1,green_r2,red_r1,red_r2,yellow_r1,yellow_r2,blue_r1,blue_r2,clear_r1,clear_r2,steps_r1,steps_r2,r1_score,r2_score,r2_typing_help,r1_typing_help
60ac66a8e1bf5a1c51fa864c,3,2.5,6,2,3,1,0,0,1,0,0,0,0,184,237,40,30,.5,0
605bc8caf9e0b0f799baf6da,3,10,13.3333333333333,13,19,9,10,0,0,0,0,0,0,1091,1231,310,390,0,0
5d7cefc73f9ae70018b400f1,2,0,0,12,15,4,3,0,3,1,1,0,0,882,1125,200,210,2,.5
61648924703ce94330ded714,1,10.5,23,6,12,3,7,1,2,0,0,1,0,279,655,120,260,1,.5
6108004ce6afe356277ea875,3,22,2.66666666666667,7,13,5,6,0,0,0,1,0,0,737,668,170,250,.5,0
616dd3845b2624e9720392fd,2,0,65.6666666666667,8,10,1,5,0,1,0,0,0,0,688,690,100,200,.5,0
6109b45f7cf3658ba670f458,2,5.5,23,1,9,0,0,0,0,1,0,0,0,362,584,10,90,0,.5
611c23757abaf647e15742ef,3,0,0,11,17,4,5,2,5,2,4,0,2,716,994,190,270,4.5,2
610810f532bc885e17a6ce8a,3,1,25,13,15,5,7,0,4,0,0,0,0,834,874,230,290,2,0
5a9262251eda410001360b2c,1,0,25.6666666666667,5,3,3,1,2,1,0,0,0,2,573,497,110,50,.5,1
5c0a22affe40eb00016262b6,2,0,0,9,10,2,3,2,2,0,2,1,0,583,700,130,160,2,1
5bc640334b3be500012d36aa,3,0,58,12,14,6,5,3,2,3,4,3,4,785,1098,240,240,3,3
5f5fa55d3aa555022fd411bc,2,2,19.6666666666667,9,13,4,4,1,2,0,0,1,1,574,831,170,210,1,.5
61018830046d35da29ee579c,1,0,45,7,4,3,3,0,2,2,3,0,0,652,1032,130,100,2.5,1
6111f6dd3185666f57fa884a,2,0,17.6666666666667,17,12,7,7,1,3,2,6,0,3,802,747,310,260,4.5,1.5
5e3b9b820014e23ad71813c8,1,.5,70.3333333333333,9,14,3,3,3,3,1,3,0,0,682,745,150,200,3,2
6009eee6721c400d92d4cd39,1,0,43.3333333333333,13,12,4,7,0,0,2,2,0,0,637,844,210,260,1,1
5ffd0c9a38e1701dd161d59b,3,0,27.3333333333333,9,14,3,8,3,3,5,2,0,0,591,803,150,300,2.5,4
5dbaded2af6b8e0e8c3632ed,3,0,0,10,9,5,8,0,0,0,0,0,0,604,770,200,250,0,0
61083c3043474227a8512bf7,2,22,74,1,0,0,1,0,0,0,0,0,0,460,757,10,20,0,0
6102f18e52c555bc90330663,3,.5,47.3333333333333,6,7,2,4,0,2,0,0,0,0,643,448,100,150,1,0
60fd5c8e6cb095519d143d6a,2,1,19.6666666666667,5,5,2,0,0,1,2,2,0,2,520,920,90,50,1.5,1
5cf08a81f7ab870015139666,3,0,4.66666666666667,27,26,12,10,0,0,0,0,0,0,2182,2950,510,460,0,0
5bf3761862e1bc0001f15cb2,3,.5,42,11,10,5,3,2,2,2,4,2,4,570,747,210,160,3,2
612d72360bdd67930d3f85fa,1,0,7.33333333333333,4,5,3,4,0,0,1,2,0,0,358,564,100,130,1,.5
5f920aa80a785011ef6906e3,2,2,14,3,3,1,4,0,1,1,0,0,0,471,556,50,110,.5,.5
5dd33b9159b1b033ec2cf634,1,0,13,11,15,4,8,0,0,0,0,0,0,484,793,190,310,0,0
5a6c076fd5d4cb0001d65a17,1,1,5,4,7,0,3,0,1,0,0,0,0,955,661,40,130,.5,0
5b666901f7798c000182c01c,3,0,18,9,14,2,4,0,1,0,0,0,0,544,619,130,220,.5,0
60de493b30efe44c987e2d64,1,1,6.66666666666667,2,4,3,3,1,0,0,0,0,0,317,191,80,100,0,.5
5f76586f6ce6850f223a25ab,2,0,4.66666666666667,10,16,4,4,1,4,3,5,0,2,876,778,180,240,4.5,2
60fffe99eaee102311003a3a,3,10,66.6666666666667,12,14,5,5,0,0,0,0,1,0,802,1008,220,240,0,0
6111c95309571f2e5a12b0c7,1,1.5,32.6666666666667,10,13,2,5,3,3,0,0,0,0,500,641,140,230,1.5,1.5
5ddb5ed4a64380abb2907440,3,1,2.33333333333333,9,12,6,3,0,0,0,0,0,0,729,713,210,180,0,0
6090a9a32b9a685c5cacbbb3,2,10,33,3,8,2,3,0,0,2,4,1,1,401,501,70,140,2,1
6112a0826f404dc5c6ece834,1,0,54,17,23,7,9,4,4,1,0,0,0,1091,1779,310,410,2,2.5
54e32a60fdf99b3eae9de85b,2,17.5,17,12,10,7,4,2,2,0,0,0,0,586,736,260,180,1,1
61435c7574b97803fe574723,2,5,40,19,25,9,11,3,3,3,1,0,0,1462,1574,370,470,2,3
5ddd923682a527d15a205b32,2,0,30,7,11,1,5,2,2,2,3,0,2,397,561,90,210,2.5,2
5df82bba9b92b15c27472e5a,2,5.5,23.6666666666667,13,36,5,19,3,7,2,5,1,0,751,1925,230,740,6,2.5
611edfe04f9fc63d5fe3084b,2,35,28.3333333333333,7,13,3,4,0,0,1,2,0,0,353,476,130,210,1,.5
5dd7052c7fb58b000eb7c09f,2,1,3.66666666666667,3,6,1,2,1,1,0,0,0,0,346,401,50,100,.5,.5
5f4e97bf2d361c09ff2a14d3,3,2,6,8,11,4,5,0,0,0,0,0,0,752,786,160,210,0,0
600c63a5dfb7171357a02440,2,8,62.6666666666667,20,30,10,9,4,5,0,0,0,0,1332,1968,400,480,2.5,2
613b90589da40a5f42ad01b7,1,16.5,7.66666666666667,9,14,2,5,1,3,3,0,0,0,376,802,130,240,1.5,2
60c2670ee246bb9e550f9088,1,4,3.66666666666667,3,9,2,2,0,0,0,0,0,0,369,446,70,130,0,0
5d75d01a871bc100183b4749,1,20.5,56,2,12,1,3,1,0,0,0,2,0,501,642,40,180,0,.5
5f94a8d5b23c792ffdc1e935,2,9,16,24,26,7,10,0,5,2,0,0,0,1498,1585,380,460,2.5,1
5fa4c21a04bc5912180291bc,3,1.5,34,14,17,4,10,3,2,1,1,0,0,1053,1193,220,370,1.5,2
5ca24832cc13cf0017659a7a,3,3.5,28.3333333333333,9,17,2,5,0,0,2,1,0,0,790,869,130,270,.5,1
60dfc5c8cad590f9416be8bc,3,0,0,8,9,3,5,1,1,2,4,0,1,494,629,140,190,2.5,1.5
61292a3404d387db5b0b2a32,3,0,32,18,22,8,8,0,0,0,0,0,0,902,897,340,380,0,0
566c7564d408ea000519c678,1,8.5,20,3,7,2,2,1,2,0,0,0,0,642,488,70,110,1,.5
5ef659991d975d12c6e7c555,3,2,2.66666666666667,8,11,3,6,0,0,1,2,0,0,716,731,140,230,1,.5
60fddca5d7936b5e07c394a2,1,9,51,13,14,4,7,0,0,0,0,0,0,880,1024,210,280,0,0
6168bf103be4a9dc6dee93c4,2,0,10,26,36,13,14,1,0,1,1,0,0,2327,2070,520,640,.5,1
6108967d0848c6a89a6117a9,2,1.5,61.6666666666667,6,5,2,3,0,0,0,2,1,1,572,717,100,110,1,0
5fb2cbcafa4c009546a700e2,3,.5,.666666666666667,2,4,1,1,0,0,0,0,0,0,418,315,40,60,0,0
5e4a0a67110b3747ea173d60,3,15,9,1,5,0,1,0,2,1,1,1,2,215,200,10,70,1.5,.5
5f2993920dddf60b87611e5c,1,0,30.6666666666667,13,13,4,7,0,2,2,1,0,0,538,902,210,270,1.5,1
60ff2a99571ffa508c4b516f,1,0,10,6,8,2,2,0,2,4,3,2,0,855,1040,100,120,2.5,2
5eda8f3cf96cc50eea5c251c,2,0,17.3333333333333,22,23,11,10,5,4,0,4,1,0,2469,2648,440,430,4,2.5
6171a0b9367669bd8d232674,1,3.5,67.3333333333333,4,4,4,5,1,1,1,3,0,0,720,795,120,140,2,1
568899d9d7848e0005399c6b,2,15.5,21,10,9,8,5,0,0,2,2,0,0,652,753,260,190,1,1
610432df03feeee09a3d62de,3,.5,.333333333333333,6,15,5,5,3,3,1,1,0,0,617,875,160,250,2,2
5bad4be8b712f30001b87947,2,17.5,70,7,11,1,4,2,3,3,5,2,3,637,651,90,190,4,2.5
602c5fd808e6c3528a8ba43b,2,5,36.6666666666667,18,18,8,4,3,3,3,7,0,0,998,893,340,260,5,3
6150979541a05129ba7edfbe,1,7,16.6666666666667,9,9,0,2,0,0,1,0,0,0,499,593,90,130,0,.5
5efe4033859ac314b6d79a50,1,14,33,3,4,2,1,0,0,0,0,0,0,248,363,70,60,0,0
