uid,condition,positive_premeasure,positive_pep1,positive_pep2
605bc8caf9e0b0f799baf6da,3,20.25,14.75,13.5
615224b6fec95dfc43439c28,1,61.75,56.25,67
5d7cefc73f9ae70018b400f1,2,41.75,72.25,66.25
614f6bad672ef7cf5ecfd965,1,50.5,40.25,47.5
61648924703ce94330ded714,1,59.5,75.25,80.25
6108004ce6afe356277ea875,3,9.25,12,17.75
616dd3845b2624e9720392fd,2,39.25,72.75,58.75
6109b45f7cf3658ba670f458,2,75,75.75,79.5
611c23757abaf647e15742ef,3,50,37.5,60.5
610810f532bc885e17a6ce8a,3,51.25,23.75,27.75
5a9262251eda410001360b2c,1,47.25,19,39
60b63b1f1d8a6fc4d72d5328,2,97.25,95,92.5
61003dc52ef1560d130aa57b,1,50,32.5,47.75
5de33ff0cc246f3633dc01d2,2,40,27,7.25
5c0a22affe40eb00016262b6,2,31.25,48.75,49
5bc640334b3be500012d36aa,3,39.5,57,69.25
5f5fa55d3aa555022fd411bc,2,54.25,24.5,15.75
61018830046d35da29ee579c,1,32.5,28.5,15
6111f6dd3185666f57fa884a,2,51.25,77.5,70
5e3b9b820014e23ad71813c8,1,15.25,28.25,21
6009eee6721c400d92d4cd39,1,20,3.75,2.5
5ffd0c9a38e1701dd161d59b,3,59.75,74.25,82.25
5dbaded2af6b8e0e8c3632ed,3,75.25,79.75,86
61083c3043474227a8512bf7,2,53.75,63.75,42.25
6102f18e52c555bc90330663,3,45,45,44.25
60fd5c8e6cb095519d143d6a,2,25,23.5,21
5cf08a81f7ab870015139666,3,31.75,33,27.25
5bf3761862e1bc0001f15cb2,3,71.75,60.75,62.75
612d72360bdd67930d3f85fa,1,73.5,43.75,45.75
5f920aa80a785011ef6906e3,2,77.25,88.25,82.25
5dd33b9159b1b033ec2cf634,1,73.25,57,66.5
5a6c076fd5d4cb0001d65a17,1,60.75,70.25,68
5b666901f7798c000182c01c,3,41.25,31.25,56.5
60de493b30efe44c987e2d64,1,66.25,40.25,58
5f76586f6ce6850f223a25ab,2,22,39.25,30.75
614f486dfec3358ceeddf175,3,67.25,31.5,87.75
60fffe99eaee102311003a3a,3,25.25,22.75,10.5
6111c95309571f2e5a12b0c7,1,24.75,18,21.75
5ddb5ed4a64380abb2907440,3,41,41.75,54.75
6090a9a32b9a685c5cacbbb3,2,4.5,8,6.75
6112a0826f404dc5c6ece834,1,9.75,24,14.25
54e32a60fdf99b3eae9de85b,2,31.75,37.25,40
61435c7574b97803fe574723,2,25,22.75,1.75
5ddd923682a527d15a205b32,2,27.5,31,30.5
5df82bba9b92b15c27472e5a,2,76.5,41,64
614ff5087d00000408f278d5,2,62.25,42.25,23
611edfe04f9fc63d5fe3084b,2,70,30,23.75
5dd7052c7fb58b000eb7c09f,2,61.75,65.25,69.25
5feb7d263ce806c6a75acc04,1,58.25,64.25,61.75
5f4e97bf2d361c09ff2a14d3,3,88.75,96,93.75
600c63a5dfb7171357a02440,2,18.75,31.5,28.5
613b90589da40a5f42ad01b7,1,28.75,30.25,29.25
60c2670ee246bb9e550f9088,1,37.5,33,28
5d75d01a871bc100183b4749,1,23.5,20.75,24.25
5f94a8d5b23c792ffdc1e935,2,39.75,53.25,37.25
5ca24832cc13cf0017659a7a,3,72.25,68.25,71
60dfc5c8cad590f9416be8bc,3,78,61.75,60.75
61292a3404d387db5b0b2a32,3,68.25,81.5,64.25
60feb742c806994e7a6f2940,2,16.25,16.25,18.5
566c7564d408ea000519c678,1,27.75,27.75,45
5ef659991d975d12c6e7c555,3,56.75,47.5,44.5
60fddca5d7936b5e07c394a2,1,65.25,45.75,48.75
6168bf103be4a9dc6dee93c4,2,26.25,43.75,15
6108967d0848c6a89a6117a9,2,55.25,50.25,45
5fb2cbcafa4c009546a700e2,3,77,63,89
5e4a0a67110b3747ea173d60,3,38.25,61.5,44
5f2993920dddf60b87611e5c,1,68.25,45.75,45
5fe007bddf84510e83964c4c,3,92,95.5,94.5
5f9b1ec2a1794a2ecec61812,2,32,37.75,28.5
5ee11eb5636ea94d3ad43e3b,2,81,89,90
60ff2a99571ffa508c4b516f,1,100,100,100
5eda8f3cf96cc50eea5c251c,2,64,35.25,31.25
6171a0b9367669bd8d232674,1,37.25,36,14.5
568899d9d7848e0005399c6b,2,49.75,46.25,32.5
5d614d8747787f001675c4e0,3,60,62,51.5
610432df03feeee09a3d62de,3,50,33,30.25
5bad4be8b712f30001b87947,2,27.5,22.5,25
602c5fd808e6c3528a8ba43b,2,58.5,85,60
6150979541a05129ba7edfbe,1,37.5,35,24.25
5efe4033859ac314b6d79a50,1,64,42,61.25
60ff7efcb489b392488f340e,3,56.75,41.75,30.5
5f1611b74f568f177ca351c4,2,25,34.5,12.25
5e8d44819163b611f62d706c,0, , ,28.5
5ac560359534ba0001c74715,3,85.5,27.75,38.5
5f0a7dec44c42c19a6c9f6d9,3,69.25,76,72.75
6110c02b1436b0f7ba5897a7,1,55.5,39,66.75
61098e4d45233c111abf1db0,1,18.5,32,31
600c167e28de48080e812884,3,70.75,62.75,63
614f96dbd2ffada13bf93f18,2,68.5,80.75,79.75
559ad287fdf99b219a612d22,1,60.25,83.25,100
5d5497857aff650001a18c3c,3,63.5,47,59
5a69b952f561b400011e188d,1,82.75,35.25,63.25
5e16c978783225c8108ef055,2,60.5,44.5,62.25
5fe27500a85a2465b973b9df,1,77.5,45.75,69.75
6095d1be2f663b205d047133,2,12.5,21.5,13
614e22baed17f763e7d7593a,2,53.75,69,64.5
600d2374fc62894e74517f13,1,23.25,22.75,25
60144cac1e8f203e861fc5f6,1,60.75,40.75,43.25
61082e948ef64d7be2877728,3,20,19.25,16
5fd02fea84bdb809404020a2,1,25.75,21.5,26.25
5eacb9950c7a9532645a3dca,3,21,26.25,49.25
6101652deeafbb4a9f346388,2,69,68.5,76.75
605770450751207a2cb288a9,3,14.5,21,23.75
5f5c4b9c062e0f43a15ed050,0, , ,45
60fdd7ce470f6c1005cb87cb,3,21,8.75,2
