uid,condition,bot,anxiety_pep1,anger_pep1,anxiety_pep2,anger_pep2,post_rumination,green_r1,green_r2,red_r1,red_r2,yellow_r1,yellow_r2,blue_r1,blue_r2,clear_r1,clear_r2,steps_r1,steps_r2,r1_score,r2_score,C1_E0_msg_ALL_avg_char_length,C1_E0_msg_ALL_total_occurences,C1_E0_msg_COLLAB_avg_char_length,C1_E0_msg_COLLAB_total_occurences,C1_E0_msg_NON_COLLAB_avg_char_length,C1_E0_msg_NON_COLLAB_total_occurences,C1_E1_msg_ALL_avg_char_length,C1_E1_msg_ALL_total_occurences,C1_E1_msg_COLLAB_avg_char_length,C1_E1_msg_COLLAB_total_occurences,C1_E1_msg_NON_COLLAB_avg_char_length,C1_E1_msg_NON_COLLAB_total_occurences,C1_E2_msg_ALL_avg_char_length,C1_E2_msg_ALL_total_occurences,C1_E2_msg_COLLAB_avg_char_length,C1_E2_msg_COLLAB_total_occurences,C1_E2_msg_NON_COLLAB_avg_char_length
60ac66a8e1bf5a1c51fa864c,3,0,8.666666667,2,4.333333333,1.5,6,2,3,1,0,0,1,0,0,0,0,184,237,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
605bc8caf9e0b0f799baf6da,3,1,0,0,0,0,1,13,19,9,10,0,0,0,0,0,0,1091,1231,310,390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
615224b6fec95dfc43439c28,1,0,6.333333333,0,3,0,4,2,7,0,2,0,0,0,0,0,0,303,416,20,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d7cefc73f9ae70018b400f1,2,0,0,0,0,0,6,12,15,4,3,0,3,1,1,0,0,882,1125,200,210,0,0,0,0,0,0,34,1,34,1,0,0,41,1,41,1,0
614f6bad672ef7cf5ecfd965,1,0,20,25,25,25.5,4.5,3,9,2,3,1,3,0,0,0,0,363,400,70,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61648924703ce94330ded714,1,0,36,19.5,30.33333333,10.5,6,6,12,3,7,1,2,0,0,1,0,279,655,120,260,0,0,0,0,0,0,12.66666667,3,12.66666667,3,0,0,12,3,12,3,0
6108004ce6afe356277ea875,3,0,4.333333333,0.5,9,0,4,7,13,5,6,0,0,0,1,0,0,737,668,170,250,0,0,0,0,0,0,0,0,0,0,0,0,12,1,12,1,0
616dd3845b2624e9720392fd,2,0,0,0,0,0,7,8,10,1,5,0,1,0,0,0,0,688,690,100,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6109b45f7cf3658ba670f458,2,0,10.66666667,0,4.666666667,0,6.5,1,9,0,0,0,0,1,0,0,0,362,584,10,90,0,0,0,0,0,0,21,1,21,1,0,0,16.5,2,16.5,2,0
611c23757abaf647e15742ef,3,0,52,0,0,0,6,11,17,4,5,2,5,2,4,0,2,716,994,190,270,0,0,0,0,0,0,21.5,2,21.5,2,0,0,15,7,17,6,3
610810f532bc885e17a6ce8a,3,0,15,23.5,35.66666667,10,4,13,15,5,7,0,4,0,0,0,0,834,874,230,290,11,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0
5a9262251eda410001360b2c,1,0,5.333333333,49,18.66666667,1.5,6,5,3,3,1,2,1,0,0,0,2,573,497,110,50,0,0,0,0,0,0,27,1,27,1,0,0,21.75,4,24,3,15
60b63b1f1d8a6fc4d72d5328,2,0,20.66666667,0,26,1,7,0,4,0,5,0,0,0,0,0,0,656,2092,0,140,0,0,0,0,0,0,0,0,0,0,0,0,5.2,5,5.75,4,3
61003dc52ef1560d130aa57b,1,0,3.333333333,50,3.333333333,5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , 
5de33ff0cc246f3633dc01d2,2,0,3.666666667,2.5,3.666666667,0.5,4.5,3,0,1,0,1,0,0,0,0,0,268,645,50,0,0,0,0,0,0,0,27,2,37,1,17,1,44.75,4,35,1,48
5c0a22affe40eb00016262b6,2,0,0,0,0,0,2.5,9,10,2,3,2,2,0,2,1,0,583,700,130,160,0,0,0,0,0,0,29,1,29,1,0,0,15,2,15,2,0
5bc640334b3be500012d36aa,3,0,45.66666667,0,53.66666667,0,6.5,12,14,6,5,3,2,3,4,3,4,785,1098,240,240,40,1,40,1,0,0,24.28571429,7,24.28571429,7,0,0,15.875,8,15.875,8,0
5f5fa55d3aa555022fd411bc,2,0,12.33333333,8.5,8,6.5,4.5,9,13,4,4,1,2,0,0,1,1,574,831,170,210,0,0,0,0,0,0,37,1,37,1,0,0,23,1,23,1,0
61018830046d35da29ee579c,1,0,46.66666667,0,36.66666667,0,6,7,4,3,3,0,2,2,3,0,0,652,1032,130,100,0,0,0,0,0,0,13.75,4,17,2,10.5,2,17.33333333,3,17.33333333,3,0
6111f6dd3185666f57fa884a,2,0,1,1,5.333333333,0,6.5,17,12,7,7,1,3,2,6,0,3,802,747,310,260,41,1,41,1,0,0,24,2,24,2,0,0,21.75,8,21.75,8,0
5e3b9b820014e23ad71813c8,1,0,64,65,66,31.5,5,9,14,3,3,3,3,1,3,0,0,682,745,150,200,0,0,0,0,0,0,26.5,2,45,1,8,1,11.33333333,3,11.33333333,3,0
6009eee6721c400d92d4cd39,1,0,6.666666667,27,10,0,5.5,13,12,4,7,0,0,2,2,0,0,637,844,210,260,33,1,33,1,0,0,15,2,15,2,0,0,14.33333333,3,13.5,2,16
5ffd0c9a38e1701dd161d59b,3,0,9,0,0,0,6,9,14,3,8,3,3,5,2,0,0,591,803,150,300,26,3,17,1,30.5,2,21.8,5,21.8,5,0,0,14.5,2,14.5,2,0
5dbaded2af6b8e0e8c3632ed,3,0,0.333333333,0,0,0,3.5,10,9,5,8,0,0,0,0,0,0,604,770,200,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61083c3043474227a8512bf7,2,0,59,27,42.33333333,20.5,4.5,1,0,0,1,0,0,0,0,0,0,460,757,10,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6102f18e52c555bc90330663,3,0,26.33333333,8,17,0.5,2.5,6,7,2,4,0,2,0,0,0,0,643,448,100,150,5,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
60fd5c8e6cb095519d143d6a,2,0,8.333333333,1.5,17.33333333,1,7,5,5,2,0,0,1,2,2,0,2,520,920,90,50,0,0,0,0,0,0,13.5,4,17,2,10,2,15.4,5,16.25,4,12
5cf08a81f7ab870015139666,3,1,6,0,6,1,3.5,27,26,12,10,0,0,0,0,0,0,2182,2950,510,460,0,0,0,0,0,0,5.6,5,0,0,5.6,5,0,0,0,0,0
5bf3761862e1bc0001f15cb2,3,0,34,13,38.66666667,1.5,4,11,10,5,3,2,2,2,4,2,4,570,747,210,160,18,1,18,1,0,0,19.5,4,19.5,4,0,0,14.5,8,14.5,8,0
612d72360bdd67930d3f85fa,1,0,27,0.5,17,0,5,4,5,3,4,0,0,1,2,0,0,358,564,100,130,0,0,0,0,0,0,21,1,21,1,0,0,19.5,2,19.5,2,0
5f920aa80a785011ef6906e3,2,0,19.33333333,1,2,2,6.5,3,3,1,4,0,1,1,0,0,0,471,556,50,110,0,0,0,0,0,0,20,1,20,1,0,0,0,0,0,0,0
5dd33b9159b1b033ec2cf634,1,0,20,72.5,18,19.5,2.5,11,15,4,8,0,0,0,0,0,0,484,793,190,310,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5a6c076fd5d4cb0001d65a17,1,0,20,1,3.666666667,0.5,2.5,4,7,0,3,0,1,0,0,0,0,955,661,40,130,0,0,0,0,0,0,29,2,0,0,29,2,0,0,0,0,0
5b666901f7798c000182c01c,3,0,10,0,1.666666667,2,2.5,9,14,2,4,0,1,0,0,0,0,544,619,130,220,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0,0
60de493b30efe44c987e2d64,1,0,13,2,9.333333333,2,4.5,2,4,3,3,1,0,0,0,0,0,317,191,80,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f76586f6ce6850f223a25ab,2,0,0,0,0,0,6,10,16,4,4,1,4,3,5,0,2,876,778,180,240,0,0,0,0,0,0,21.66666667,3,21.66666667,3,0,0,12.14285714,7,12.14285714,7,0
614f486dfec3358ceeddf175,3,0,90,68,3.333333333,0,5.5,0,10,0,4,0,0,0,3,0,2,1708,697,0,180,0,0,0,0,0,0,16.5,2,0,0,16.5,2,13.5,6,14.4,5,9
60fffe99eaee102311003a3a,3,0,63.33333333,0.5,40.33333333,1,4,12,14,5,5,0,0,0,0,1,0,802,1008,220,240,0,0,0,0,0,0,28,1,28,1,0,0,0,0,0,0,0
6111c95309571f2e5a12b0c7,1,0,29,1,11.33333333,1,4,10,13,2,5,3,3,0,0,0,0,500,641,140,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5ddb5ed4a64380abb2907440,3,0,14,1.5,1.333333333,2,4.5,9,12,6,3,0,0,0,0,0,0,729,713,210,180,5,1,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0
6090a9a32b9a685c5cacbbb3,2,0,27.66666667,9,38.33333333,7.5,6,3,8,2,3,0,0,2,4,1,1,401,501,70,140,21,1,21,1,0,0,18.33333333,3,18.33333333,3,0,0,18.6,5,18.6,5,0
6112a0826f404dc5c6ece834,1,0,56,0,46.33333333,0,2.5,17,23,7,9,4,4,1,0,0,0,1091,1779,310,410,0,0,0,0,0,0,27,1,27,1,0,0,0,0,0,0,0
54e32a60fdf99b3eae9de85b,2,0,20.33333333,8.5,29.33333333,12,3.5,12,10,7,4,2,2,0,0,0,0,586,736,260,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61435c7574b97803fe574723,2,1,13.33333333,1,25,2.5,5.5,19,25,9,11,3,3,3,1,0,0,1462,1574,370,470,16,1,16,1,0,0,16,4,16,3,16,1,14,2,12,1,16
5ddd923682a527d15a205b32,2,0,23.33333333,1,20.33333333,0.5,4.5,7,11,1,5,2,2,2,3,0,2,397,561,90,210,0,0,0,0,0,0,12.5,2,12.5,2,0,0,16,5,16,5,0
5df82bba9b92b15c27472e5a,2,0,18.66666667,2,9,1.5,5,13,36,5,19,3,7,2,5,1,0,751,1925,230,740,13,1,13,1,0,0,14.33333333,3,14.33333333,3,0,0,13,5,13,5,0
614ff5087d00000408f278d5,2,0,3,5,2.333333333,2.5,2,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,23,1,0,0,23,1,0,0,0,0,0
611edfe04f9fc63d5fe3084b,2,1,23.33333333,20,10,40,5,7,13,3,4,0,0,1,2,0,0,353,476,130,210,26,1,26,1,0,0,52.5,2,52.5,2,0,0,13,2,13,2,0
5dd7052c7fb58b000eb7c09f,2,0,1.333333333,1,1.333333333,1.5,5,3,6,1,2,1,1,0,0,0,0,346,401,50,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5feb7d263ce806c6a75acc04,1,0,10.66666667,28,9.333333333,68,3,1,0,4,4,0,0,0,0,0,0,828,941,90,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5f4e97bf2d361c09ff2a14d3,3,0,1.333333333,1,3.333333333,4,5,8,11,4,5,0,0,0,0,0,0,752,786,160,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
600c63a5dfb7171357a02440,2,0,60,5.5,53.66666667,10,2,20,30,10,9,4,5,0,0,0,0,1332,1968,400,480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
613b90589da40a5f42ad01b7,1,1,5,11,1.333333333,6.5,2.5,9,14,2,5,1,3,3,0,0,0,376,802,130,240,0,0,0,0,0,0,15,3,15,3,0,0,0,0,0,0,0
60c2670ee246bb9e550f9088,1,0,11.33333333,9,8.666666667,11,2,3,9,2,2,0,0,0,0,0,0,369,446,70,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5d75d01a871bc100183b4749,1,0,56.66666667,39,48,32,2,2,12,1,3,1,0,0,0,2,0,501,642,40,180,0,0,0,0,0,0,14,2,14,2,0,0,0,0,0,0,0
5f94a8d5b23c792ffdc1e935,2,1,6.333333333,0,5,0,5,24,26,7,10,0,5,2,0,0,0,1498,1585,380,460,16,1,16,1,0,0,12,2,12,2,0,0,0,0,0,0,0
